Sample.ID	DEFA4	CD163	PER1
5125398041_J	83.5		
5125398041_K	105.6		
5125398046_E	10765.9		
5125398046_F	8017.8		
5125398046_G	14909.6		
5125398047_A	603.1		
5125398047_B	1687		
5125398047_C	829.8		
5125398047_D	665.1		
5125398047_E	688.7		
5125398047_F	4915.6		
5125398047_G	163.2		
5125398047_H	963.2		
5125398047_I	345		
5125398047_J	2739.8		
5445295006_D	794.7		
5445295006_F	1818.7		
5445295006_G	264.5		
5445295006_H	7155.4		
5445295006_L	144.6		
5445295021_H	198.1		
5445295021_I	226.7		
5445295021_J	136.4		
5445295021_K	176.6		
5445295021_L	128.7		
5445295025_B	771.1		
5445295025_C	435.8		
5445295025_D	113.6		
5445295025_E	2703.1		
5445295025_F	3453.9		
5445295025_G	5250.9		
5445295025_H	11557.9		
5445295027_A	115.7		
5445295027_B	88.6		
5445295027_C	143.9		
5445295027_D	169.5		
5445295027_L	51.1		
5447354008_A	277.6		
5447354008_B	251.2		
5447354008_C	381.2		
5447354008_D	857.3		
5447354008_E	1463.4		
5447354008_F	293.9		
5447354008_G	292.4		
5447354008_H	315.1		
5447354008_I	144.4		
5447354008_J	604.2		
5447354008_K	78.1		
5447354008_L	64.6		
5447354026_A	98.4		
5447354026_B	692.1		
5447354026_C	1707.4		
5447354026_D	85.7		
5447354026_E	321.4		
5447354026_F	221.7		
5447354026_G	413.2		
5447354026_H	15882.5		
5447354026_I	4141.1		
5447354026_J	3782.3		
5447354026_K	5151.4		
5447354026_L	5214.9		
5447354040_A	197.5		
5447354040_B	413.8		
5447354040_C	1302.5		
5447354040_D	3645.4		
5447354040_E	2360.7		
5447354040_F	82.5		
5447354040_G	70.1		
5447354040_H	74.4		
5447354040_I	93.9		
5447354040_J	126.4		
5447354040_K	622.7		
d25	3.440554567		
d29	0.380961451		
d37	5.212291911		
d38	2.883359314		
d39	106.078034		
d61	2.325614927		
d68	0		
d84	55.02735439		
d91	2.755914192		
d121	2.508568853		
d155	1.826140887		
d161	0.870205133		
d187	1.082639301		
d188	0.625102165		
d194	62.85867554		
d205	1.302686617		
d246	1.52934137		
d249	14.70370478		
d253	4.75842577		
d283	0.790102231		
d284	2.136038298		
d299	2.314203492		
d303	0		
d307	0		
d309	0.363094824		
d315	1.179760037		
d326	17.46246204		
d347	1.650768543		
d360	0.88068133		
d364	0		
d366	2.585875701		
d387	1.491525154		
hf2	8.610921855		
hf6	5.43073612		
hf10	5.617621535		
hf11	0.73396704		
hf13	1.113799576		
hf18	1.246293834		
hf20	8.825464744		
hf22	0.343702454		
hf25	47.31408839		
hf27	0.755571062		
hf33	1.484043931		
hf37	2.621280076		
hf40	5.062313463		
hf45	6.256107525		
hf57	0.325522317		
hf59	0.168510679		
hf68	6.106064788		
hf76	0		
hf79	7.735479776		
hf81	19.62085959		
hf82	1.01362032		
hf83	0.791372927		
hf86	0.26732189		
hf97	151.9771931		
hf98	3.125255758		
hf99	1.056569525		
hf100	0.260273245		
hf101	4.706069212		
hf102	2.42036456		
hf103	4.055582205		
hf104	1.020477584		
hf106	5.394932785		
hf107	0.559152355		
hf111	0.677357016		
hf120	1.804733507		
hf124	1.77786035		
hf126	4.154751532		
hf128	0.218444635		
hf136	1.862720679		
hf138	16.86493133		
hf155	42.04194531		
hf158	14.4647525		
hf159	0.619097933		
hf161	0.934476472		
hf162	17.14606922		
hf174	0.669678613		
hf179	1.500912786		
hf184	19.35223013		
hf188	5.192733322		
hf189	3.362904473		
hf190	2.272611172		
hf192	4.434499794		
hf193	15.56251488		
hf194	185.8691664		
hf195	0		
hf196	16.75862248		
hf197	2.018445225		
hf201	22.62344862		
hf202	35.60770741		
hf203	1.398095347		
hf205	0.253790552		
hf206	41.58743171		
hf207	0.829017331		
hf210	9.684752801		
hf213	5.433151858		
hf216	9.78906348		
hf217	0.362729211		
hf225	37.96208745		
hf230	8.852435929		
hf231	5.714070212		
hf236	1.160500464		
hf240	1.681914624		
hf241	0		
hf244	13.2756899		
hf246	2.34139717		
hf258	0		
hf265	2.113502605		
hf270	2.891690095		
hf274	81.46935862		
hf275	5.589821764		
hf286	154.8141978		
hf287	27.9785912		
hf292	36.6489		
hf295	121.8412307		
hf296	9.687046404		
hf301	122.5107041		
hf304	5.27306143		
hf310	29.93626461		
hf311	2.50768763		
hf314	11.10081202		
hf317	1.61470349		
hf319	56.16268878		
hf325	7.381860701		
hf327	252.2718521		
hf330	1.75893327		
hf346	0.218955959		
hf348	0.785462554		
