	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils
hf45	0	0	0	0	0.0564	0	0	0	0	0	0.0692	0.002	0.1517	0.0499	0.0487	0.0643	0	0	0	0.0201	0	0.5377
hf57	0	0.007	0.1029	0	0.0845	0.0141	0	0.0251	0.0207	0	0.0674	0.012	0.1113	0.0501	0.0461	0.1089	0	0	0	0.0114	0.017	0.3215
hf59	0	0.0046	0.0089	0	0.0921	4.00E-04	0.029	0.0266	0	0	0.0793	0	0.1546	0.0737	0.0625	0.0505	0	0	1.00E-04	0	0	0.4178
hf68	0	0.0212	0	0	0.1674	0	0.0342	0.0398	0.0778	0	0.1639	0	0.1695	0.0208	0.0359	0.0687	0	0	0	0.0206	0	0.1802
hf76	0	0	0.0268	0	0.1111	0	0.0213	0	0.0279	0	0.1072	0	0.0923	0.0792	0.078	0.0978	0	0	0.0036	0.0142	0	0.3408
hf79	0	0	0	0	0.0526	0	0	0	0	0	0.0489	0.0032	0.1548	0.0472	0	0.0383	0	0	0	0.0393	0	0.6157
hf81	0	0	0	0	0.075	0	0.0114	0	0	0	0.0828	0.0054	0.1246	0	0.0048	0.0701	0	0	0.0032	2.00E-04	0	0.6225
hf82	0	0.0454	0.032	0	0.1105	0.0418	0.0788	0	0.0184	0	0.0848	0	0.1063	0.0751	0.0986	0.0629	0	0	0	0	0	0.2454
hf83	0	0.0505	0.0173	0	0.0627	0.0562	0.0144	0.0193	0.0102	0	0.0482	0.0239	0.0958	0.0208	0.0671	0.0482	0	0	0.011	0	0	0.4545
hf86	0	0	0.0023	0	0.0477	0.0544	0	0	0.0072	0	0.0266	0.0244	0.0014	0.0968	0.068	0.0367	0	0	0	0.0174	0.0696	0.5474
hf97	0	0.0429	0.0042	0	0.1369	0.0271	0.0253	0.0664	0.0457	0	0.1047	0	0.1248	0.0594	0.0124	0.048	0	0	0.0094	0.037	0	0.2558
hf98	0	0.0362	0.0291	0	0.1689	0	0.0212	0.04	0	0	0.0766	0.024	0.0953	0.0663	0.0956	0.0597	0	0	0.018	0	0	0.2689
hf99	0	0.0245	0.0039	0	0.1248	0	0.0255	0.0424	0.0229	0	0.0982	0.0416	0.0888	0.037	0.0774	0.0884	0	0	0	0.012	0	0.3123
